m2,bedrooms,floors,price
132.0,4.0,8.0,221988.08
209.0,3.0,14.0,332922.09
122.0,2.0,8.0,185641.57
44.0,5.0,14.0,167667.12
136.0,5.0,11.0,278983.64
101.0,3.0,4.0,190047.71
218.0,4.0,4.0,347062.24
50.0,1.0,5.0,105726.53
132.0,4.0,6.0,233731.05
151.0,3.0,5.0,227436.5
104.0,5.0,14.0,240424.92
117.0,4.0,15.0,252999.21
146.0,5.0,7.0,256472.88
129.0,1.0,2.0,195721.64
133.0,5.0,7.0,266374.66
181.0,5.0,10.0,319721.19
160.0,2.0,7.0,234469.54
179.0,2.0,1.0,239770.55
82.0,2.0,7.0,150290.47
31.0,5.0,5.0,124447.17
117.0,3.0,3.0,205806.03
187.0,5.0,13.0,334284.29
67.0,3.0,3.0,140466.02
159.0,3.0,4.0,247452.9
217.0,2.0,13.0,332636.03
50.0,4.0,12.0,153239.32
190.0,1.0,2.0,257492.59
87.0,2.0,2.0,149070.48
51.0,2.0,1.0,99719.15
118.0,4.0,15.0,253890.17
78.0,1.0,5.0,112267.57
88.0,5.0,4.0,196478.95
199.0,5.0,11.0,361790.42
217.0,2.0,10.0,326296.85
44.0,1.0,15.0,100431.39
219.0,2.0,2.0,298202.8
219.0,3.0,3.0,321299.74
204.0,2.0,7.0,286711.21
219.0,2.0,7.0,297500.75
80.0,5.0,12.0,203206.83
137.0,5.0,4.0,242510.01
84.0,5.0,5.0,190628.53
93.0,3.0,5.0,152503.14
160.0,5.0,6.0,291776.41
80.0,1.0,14.0,145384.74
164.0,4.0,9.0,295749.03
50.0,1.0,2.0,77677.21
102.0,1.0,5.0,152095.33
196.0,5.0,12.0,344123.58
47.0,4.0,3.0,117142.08
161.0,4.0,4.0,294867.35
118.0,4.0,10.0,225649.61
89.0,3.0,6.0,182082.26
43.0,5.0,12.0,149476.45
38.0,4.0,8.0,134065.58
119.0,3.0,1.0,196546.47
82.0,2.0,10.0,158109.88
159.0,2.0,14.0,255947.94
113.0,3.0,8.0,201440.14
121.0,3.0,11.0,218360.53
140.0,5.0,14.0,313824.32
217.0,5.0,7.0,356128.76
201.0,2.0,1.0,280498.67
37.0,4.0,2.0,131779.5
204.0,2.0,3.0,273284.18
64.0,4.0,1.0,140251.92
110.0,4.0,14.0,230769.77
193.0,5.0,9.0,332566.34
79.0,1.0,8.0,131651.86
133.0,1.0,2.0,171817.47
161.0,3.0,13.0,279544.92
31.0,5.0,9.0,126448.41
163.0,4.0,7.0,288466.59
83.0,1.0,9.0,149079.72
135.0,4.0,6.0,234078.45
33.0,1.0,6.0,67260.2
83.0,1.0,11.0,150906.13
175.0,1.0,14.0,257417.46
73.0,5.0,4.0,196343.76
191.0,2.0,10.0,293495.11
219.0,4.0,10.0,357519.16
43.0,5.0,13.0,173777.34
124.0,5.0,13.0,255846.44
77.0,5.0,2.0,186468.12
44.0,5.0,7.0,150174.4
219.0,5.0,5.0,364201.75
69.0,3.0,11.0,158424.56
111.0,4.0,6.0,227007.34
140.0,5.0,2.0,253816.12
82.0,4.0,5.0,199590.08
53.0,3.0,10.0,134165.74
183.0,3.0,4.0,279054.59
217.0,4.0,9.0,335021.09
153.0,1.0,6.0,210248.42
70.0,2.0,2.0,127424.24
186.0,1.0,1.0,254751.89
44.0,1.0,5.0,118380.12
74.0,1.0,9.0,129640.45
94.0,5.0,6.0,194601.44
118.0,3.0,10.0,225639.91
100.0,1.0,12.0,157466.07
38.0,3.0,7.0,118371.33
117.0,4.0,5.0,209372.93
158.0,2.0,10.0,252139.14
165.0,4.0,6.0,289092.55
92.0,4.0,5.0,184071.2
168.0,5.0,11.0,320794.55
110.0,2.0,9.0,199477.9
165.0,4.0,15.0,280628.02
192.0,4.0,6.0,297580.79
192.0,2.0,11.0,274658.32
62.0,2.0,8.0,152420.85
152.0,4.0,2.0,247135.3
34.0,2.0,12.0,128169.95
70.0,4.0,13.0,163404.57
57.0,4.0,9.0,148526.78
164.0,5.0,5.0,296405.98
101.0,1.0,7.0,159351.3
41.0,4.0,10.0,145594.32
191.0,3.0,13.0,298154.3
62.0,1.0,1.0,108921.64
77.0,1.0,10.0,146724.19
180.0,1.0,5.0,250819.51
91.0,5.0,12.0,211972.68
66.0,4.0,14.0,185085.6
128.0,5.0,10.0,255102.12
201.0,4.0,14.0,323394.11
133.0,5.0,2.0,239994.93
64.0,5.0,12.0,185919.24
130.0,3.0,6.0,231748.82
204.0,5.0,11.0,325986.88
160.0,2.0,1.0,227822.4
30.0,3.0,3.0,76133.18
34.0,5.0,5.0,134630.68
171.0,1.0,4.0,236691.36
132.0,2.0,3.0,196357.86
56.0,2.0,10.0,136887.52
166.0,2.0,13.0,253250.81
44.0,3.0,5.0,126092.65
119.0,5.0,11.0,242303.05
71.0,5.0,8.0,165529.22
153.0,1.0,11.0,228331.25
208.0,1.0,4.0,251458.11
92.0,2.0,1.0,146450.09
125.0,1.0,11.0,194888.99
81.0,3.0,7.0,178004.24
125.0,5.0,8.0,256787.09
161.0,2.0,3.0,215496.04
